date,price,open,high,low,volume,change_percent
"Mar 17, 2017",0.645,0.665,0.665,0.645,2.08M,-2.27%
"Mar 16, 2017",0.660,0.650,0.675,0.650,8.06M,1.54%
"Mar 15, 2017",0.650,0.665,0.665,0.645,4.93M,-2.99%
"Mar 14, 2017",0.670,0.660,0.675,0.655,24.11M,3.88%
"Mar 13, 2017",0.645,0.620,0.650,0.620,11.06M,4.03%
"Mar 10, 2017",0.620,0.625,0.625,0.610,3.81M,0.00%
"Mar 09, 2017",0.620,0.630,0.630,0.615,2.26M,-1.59%
"Mar 08, 2017",0.630,0.625,0.635,0.620,3.19M,1.61%
"Mar 07, 2017",0.620,0.615,0.630,0.610,5.74M,0.00%
"Mar 06, 2017",0.620,0.605,0.630,0.600,5.98M,3.33%
"Mar 03, 2017",0.600,0.615,0.615,0.600,1.68M,-1.64%
"Mar 02, 2017",0.610,0.615,0.620,0.605,2.43M,0.00%
"Mar 01, 2017",0.610,0.600,0.610,0.595,2.18M,2.52%
"Feb 28, 2017",0.595,0.590,0.595,0.580,3.24M,1.71%
"Feb 27, 2017",0.585,0.610,0.615,0.585,4.21M,-4.10%
"Feb 24, 2017",0.610,0.620,0.620,0.610,2.27M,-1.61%
"Feb 23, 2017",0.620,0.630,0.635,0.620,2.52M,-1.59%
"Feb 22, 2017",0.630,0.640,0.640,0.625,6.37M,1.61%
"Feb 21, 2017",0.620,0.615,0.625,0.610,5.40M,1.64%
"Feb 20, 2017",0.610,0.605,0.615,0.600,3.17M,0.83%
"Feb 17, 2017",0.605,0.600,0.610,0.600,1.58M,0.83%
"Feb 16, 2017",0.600,0.620,0.620,0.595,4.01M,-2.44%
"Feb 15, 2017",0.615,0.605,0.620,0.605,3.87M,1.65%
"Feb 14, 2017",0.605,0.620,0.625,0.600,4.66M,-3.20%
"Feb 13, 2017",0.625,0.630,0.635,0.620,2.89M,-1.57%
"Feb 10, 2017",0.635,0.630,0.635,0.620,4.16M,1.60%
"Feb 08, 2017",0.625,0.640,0.650,0.620,13.04M,-0.79%
"Feb 07, 2017",0.630,0.640,0.650,0.630,5.74M,-1.56%
"Feb 06, 2017",0.640,0.640,0.650,0.625,10.91M,0.00%
"Feb 03, 2017",0.640,0.635,0.655,0.635,7.08M,-0.78%
"Feb 02, 2017",0.645,0.625,0.650,0.620,18.90M,4.03%
"Jan 31, 2017",0.620,0.615,0.625,0.605,6.57M,0.81%
"Jan 27, 2017",0.615,0.605,0.620,0.600,4.82M,1.65%
"Jan 26, 2017",0.605,0.605,0.640,0.605,14.22M,0.83%
"Jan 25, 2017",0.600,0.575,0.600,0.570,5.13M,4.35%
"Jan 24, 2017",0.575,0.590,0.600,0.570,3.49M,-3.36%
"Jan 23, 2017",0.595,0.550,0.605,0.550,16.67M,8.18%
"Jan 20, 2017",0.550,0.535,0.560,0.530,7.15M,1.85%
"Jan 19, 2017",0.540,0.510,0.550,0.510,4.69M,4.85%
"Jan 18, 2017",0.515,0.510,0.520,0.510,458.00K,0.98%
"Jan 17, 2017",0.510,0.505,0.515,0.505,1.06M,0.99%
"Jan 16, 2017",0.505,0.515,0.515,0.505,659.50K,-0.98%
"Jan 13, 2017",0.510,0.520,0.525,0.510,1.59M,-0.97%
"Jan 12, 2017",0.515,0.510,0.525,0.510,1.35M,0.00%
"Jan 11, 2017",0.515,0.505,0.515,0.505,612.20K,3.00%
"Jan 10, 2017",0.500,0.510,0.520,0.500,1.99M,-1.96%
"Jan 09, 2017",0.510,0.515,0.520,0.510,1.73M,-0.97%
"Jan 06, 2017",0.515,0.500,0.520,0.500,1.82M,3.00%
"Jan 05, 2017",0.500,0.500,0.505,0.495,1.52M,0.00%
"Jan 04, 2017",0.500,0.505,0.505,0.495,610.10K,0.00%
"Jan 03, 2017",0.500,0.490,0.505,0.490,1.14M,2.04%
"Dec 30, 2016",0.490,0.495,0.495,0.490,640.50K,-1.01%
"Dec 29, 2016",0.495,0.485,0.500,0.485,1.36M,1.02%
"Dec 28, 2016",0.490,0.485,0.495,0.485,909.20K,1.03%
"Dec 27, 2016",0.485,0.500,0.505,0.475,2.56M,-3.00%
"Dec 23, 2016",0.500,0.500,0.510,0.500,541.50K,0.00%
"Dec 22, 2016",0.500,0.505,0.510,0.500,861.80K,-0.99%
"Dec 21, 2016",0.505,0.510,0.520,0.500,1.39M,-0.98%
"Dec 20, 2016",0.510,0.510,0.520,0.510,1.70M,-0.97%
"Dec 19, 2016",0.515,0.515,0.520,0.515,897.30K,-1.90%
"Dec 16, 2016",0.525,0.535,0.535,0.525,967.50K,-0.94%
"Dec 15, 2016",0.530,0.530,0.540,0.525,1.01M,0.00%
"Dec 14, 2016",0.530,0.525,0.535,0.525,512.80K,0.95%
"Dec 13, 2016",0.525,0.530,0.535,0.525,406.80K,-0.94%
"Dec 09, 2016",0.530,0.535,0.535,0.525,179.00K,0.00%
"Dec 08, 2016",0.530,0.525,0.530,0.525,1.41M,0.95%
"Dec 07, 2016",0.525,0.525,0.535,0.525,2.08M,0.00%
"Dec 06, 2016",0.525,0.520,0.535,0.520,1.76M,0.96%
"Dec 05, 2016",0.520,0.525,0.530,0.520,1.31M,-0.95%
"Dec 02, 2016",0.525,0.520,0.530,0.520,663.90K,0.96%
"Dec 01, 2016",0.520,0.525,0.525,0.520,850.20K,-0.95%
"Nov 30, 2016",0.525,0.515,0.525,0.515,792.90K,1.94%
"Nov 29, 2016",0.515,0.520,0.520,0.515,498.40K,-1.90%
"Nov 28, 2016",0.525,0.525,0.530,0.515,686.40K,0.00%
"Nov 25, 2016",0.525,0.520,0.530,0.515,3.06M,-2.78%
"Nov 24, 2016",0.540,0.550,0.550,0.535,731.60K,-1.82%
"Nov 23, 2016",0.550,0.560,0.565,0.545,1.33M,-1.79%
"Nov 22, 2016",0.560,0.565,0.565,0.545,3.10M,-0.88%
"Nov 21, 2016",0.565,0.545,0.565,0.540,3.20M,4.63%
"Nov 18, 2016",0.540,0.535,0.540,0.530,2.32M,1.89%
"Nov 17, 2016",0.530,0.535,0.540,0.530,4.12M,-0.93%
"Nov 16, 2016",0.535,0.540,0.540,0.535,1.93M,-0.93%
"Nov 15, 2016",0.540,0.530,0.540,0.525,2.09M,1.89%
"Nov 14, 2016",0.530,0.535,0.540,0.525,1.51M,-0.93%
"Nov 11, 2016",0.535,0.525,0.540,0.525,1.70M,2.88%
"Nov 10, 2016",0.520,0.525,0.530,0.520,262.00K,0.00%
"Nov 09, 2016",0.520,0.525,0.530,0.515,754.30K,-0.95%
"Nov 08, 2016",0.525,0.530,0.530,0.525,301.00K,0.00%
"Nov 07, 2016",0.525,0.525,0.525,0.525,185.90K,0.96%
"Nov 04, 2016",0.520,0.525,0.530,0.520,597.80K,-0.95%
"Nov 03, 2016",0.525,0.530,0.535,0.525,538.80K,-1.87%
"Nov 02, 2016",0.535,0.530,0.540,0.520,1.92M,0.00%
"Nov 01, 2016",0.535,0.530,0.535,0.525,482.50K,1.90%
"Oct 31, 2016",0.525,0.530,0.535,0.525,252.80K,-0.94%
"Oct 28, 2016",0.530,0.525,0.535,0.525,486.50K,0.95%
"Oct 27, 2016",0.525,0.535,0.535,0.525,956.60K,-0.94%
"Oct 26, 2016",0.530,0.530,0.535,0.530,1.31M,0.95%
"Oct 25, 2016",0.525,0.535,0.540,0.525,1.38M,-0.94%
"Oct 24, 2016",0.530,0.535,0.535,0.530,1.26M,0.00%
"Oct 21, 2016",0.530,0.545,0.550,0.525,10.11M,-2.75%
"Oct 20, 2016",0.545,0.540,0.555,0.540,2.96M,0.00%
"Oct 19, 2016",0.545,0.540,0.550,0.535,2.21M,0.93%
"Oct 18, 2016",0.540,0.535,0.540,0.535,274.50K,1.89%
"Oct 17, 2016",0.530,0.540,0.540,0.530,447.20K,-1.85%
"Oct 14, 2016",0.540,0.540,0.540,0.535,591.50K,0.93%
"Oct 13, 2016",0.535,0.545,0.545,0.535,596.40K,-0.93%
"Oct 12, 2016",0.540,0.545,0.545,0.535,885.70K,-0.92%
"Oct 11, 2016",0.545,0.545,0.545,0.540,199.50K,0.00%
"Oct 10, 2016",0.545,0.540,0.545,0.535,683.60K,0.00%
"Oct 07, 2016",0.545,0.535,0.550,0.535,2.11M,1.87%
"Oct 06, 2016",0.535,0.535,0.540,0.535,587.60K,0.00%
"Oct 05, 2016",0.535,0.535,0.535,0.530,752.40K,0.00%
"Oct 04, 2016",0.535,0.535,0.540,0.530,1.31M,0.94%
"Sep 30, 2016",0.530,0.540,0.540,0.530,3.52M,-0.93%
"Sep 29, 2016",0.535,0.540,0.545,0.535,1.63M,-0.93%
"Sep 28, 2016",0.540,0.535,0.545,0.530,868.80K,0.93%
"Sep 27, 2016",0.535,0.535,0.540,0.530,1.86M,0.94%
"Sep 26, 2016",0.530,0.545,0.545,0.530,1.00M,-2.75%
"Sep 23, 2016",0.545,0.535,0.545,0.530,3.05M,1.87%
"Sep 22, 2016",0.535,0.530,0.535,0.525,2.00M,0.94%
"Sep 21, 2016",0.530,0.515,0.535,0.515,8.38M,2.91%
"Sep 20, 2016",0.515,0.515,0.520,0.510,2.36M,0.98%
"Sep 19, 2016",0.510,0.515,0.520,0.510,1.17M,-0.97%
"Sep 15, 2016",0.515,0.520,0.525,0.515,2.42M,-0.96%
"Sep 14, 2016",0.520,0.530,0.530,0.520,1.69M,-1.89%
"Sep 13, 2016",0.530,0.540,0.540,0.525,1.17M,-2.75%
"Sep 09, 2016",0.545,0.550,0.555,0.540,4.58M,0.00%
"Sep 08, 2016",0.545,0.545,0.560,0.540,4.21M,0.93%
"Sep 07, 2016",0.540,0.545,0.555,0.540,1.43M,-0.92%
"Sep 06, 2016",0.545,0.535,0.550,0.530,3.17M,1.87%
"Sep 05, 2016",0.535,0.535,0.545,0.530,1.57M,0.94%
"Sep 02, 2016",0.530,0.525,0.545,0.510,4.93M,0.95%
"Sep 01, 2016",0.525,0.550,0.550,0.520,5.54M,-4.55%
"Aug 30, 2016",0.550,0.555,0.555,0.545,1.86M,-0.90%
"Aug 29, 2016",0.555,0.545,0.555,0.545,2.05M,1.83%
"Aug 26, 2016",0.545,0.550,0.555,0.540,2.41M,-0.91%
"Aug 25, 2016",0.550,0.560,0.580,0.540,4.24M,-2.65%
"Aug 24, 2016",0.565,0.590,0.590,0.555,9.18M,-4.24%
"Aug 23, 2016",0.590,0.590,0.590,0.580,3.34M,0.00%
"Aug 22, 2016",0.590,0.595,0.595,0.585,2.86M,-2.48%
"Aug 19, 2016",0.605,0.610,0.615,0.595,9.76M,-4.72%
"Aug 18, 2016",0.635,0.610,0.645,0.605,13.10M,4.96%
"Aug 17, 2016",0.605,0.605,0.610,0.600,927.90K,0.00%
"Aug 16, 2016",0.605,0.615,0.620,0.600,2.08M,-0.82%
"Aug 15, 2016",0.610,0.605,0.610,0.595,1.80M,0.83%
"Aug 12, 2016",0.605,0.615,0.625,0.605,2.27M,-0.82%
"Aug 11, 2016",0.610,0.610,0.615,0.605,2.01M,0.83%
"Aug 10, 2016",0.605,0.610,0.615,0.600,2.02M,0.00%
"Aug 09, 2016",0.605,0.595,0.620,0.590,2.85M,2.54%
"Aug 08, 2016",0.590,0.590,0.595,0.590,702.50K,0.00%
"Aug 05, 2016",0.590,0.590,0.600,0.585,900.80K,0.00%
