date,price,open,high,low,volume,change_percent
"Dec 15, 2016",0.056,0.056,0.056,0.054,5.86M,-5.08%
"Dec 14, 2016",0.059,0.059,0.059,0.056,2.03M,0.00%
"Dec 13, 2016",0.059,0.059,0.059,0.056,1.70M,0.00%
"Dec 09, 2016",0.059,0.059,0.059,0.056,2.54M,0.00%
"Dec 08, 2016",0.059,0.059,0.059,0.059,6.94M,0.00%
"Dec 07, 2016",0.059,0.059,0.061,0.056,6.45M,0.00%
"Dec 06, 2016",0.059,0.059,0.059,0.059,14.03M,0.00%
"Dec 05, 2016",0.059,0.054,0.059,0.054,17.19M,5.36%
"Dec 02, 2016",0.056,0.054,0.056,0.054,4.16M,3.70%
"Dec 01, 2016",0.054,0.054,0.056,0.054,8.04M,0.00%
"Nov 30, 2016",0.054,0.056,0.056,0.054,5.38M,-3.57%
"Nov 29, 2016",0.056,0.054,0.056,0.054,6.61M,3.70%
"Nov 28, 2016",0.054,0.056,0.056,0.054,7.81M,-3.57%
"Nov 25, 2016",0.056,0.051,0.059,0.051,53.12M,3.70%
"Nov 24, 2016",0.054,0.049,0.054,0.049,14.05M,5.88%
"Nov 23, 2016",0.051,0.051,0.051,0.049,2.79M,0.00%
"Nov 22, 2016",0.051,0.051,0.051,0.049,7.12M,0.00%
"Nov 21, 2016",0.051,0.054,0.054,0.051,15.07M,-5.56%
"Nov 18, 2016",0.054,0.051,0.054,0.051,15.20M,5.88%
"Nov 17, 2016",0.051,0.049,0.051,0.049,8.79M,0.00%
"Nov 16, 2016",0.051,0.049,0.051,0.049,8.91M,0.00%
"Nov 15, 2016",0.051,0.049,0.051,0.049,1.08M,4.08%
"Nov 14, 2016",0.049,0.049,0.049,0.049,1.25M,0.00%
"Nov 11, 2016",0.049,0.049,0.051,0.049,5.27M,-3.92%
"Nov 10, 2016",0.051,0.049,0.051,0.049,2.53M,4.08%
"Nov 09, 2016",0.049,0.049,0.051,0.046,5.11M,-3.92%
"Nov 08, 2016",0.051,0.049,0.051,0.049,8.22M,0.00%
"Nov 07, 2016",0.051,0.049,0.051,0.049,2.22M,0.00%
"Nov 04, 2016",0.051,0.049,0.051,0.049,6.30M,4.08%
"Nov 03, 2016",0.049,0.049,0.049,0.049,6.37M,-3.92%
"Nov 02, 2016",0.051,0.046,0.051,0.046,12.43M,10.87%
"Nov 01, 2016",0.046,0.044,0.046,0.044,11.82M,4.55%
"Oct 31, 2016",0.044,0.046,0.046,0.044,4.98M,-4.35%
"Oct 28, 2016",0.046,0.046,0.049,0.044,3.87M,0.00%
"Oct 27, 2016",0.046,0.046,0.049,0.046,10.99M,0.00%
"Oct 26, 2016",0.046,0.051,0.051,0.046,12.25M,-9.80%
"Oct 25, 2016",0.051,0.049,0.051,0.049,11.87M,4.08%
"Oct 24, 2016",0.049,0.051,0.051,0.049,6.03M,-3.92%
"Oct 21, 2016",0.051,0.051,0.054,0.049,11.29M,-5.56%
"Oct 20, 2016",0.054,0.059,0.061,0.049,40.61M,-15.63%
"Oct 19, 2016",0.064,0.061,0.064,0.059,20.36M,4.92%
"Oct 18, 2016",0.061,0.054,0.061,0.051,31.22M,12.96%
"Oct 17, 2016",0.054,0.049,0.054,0.044,13.68M,10.20%
"Oct 14, 2016",0.049,0.044,0.049,0.044,2.82M,11.36%
"Oct 13, 2016",0.044,0.042,0.044,0.042,624.50K,0.00%
"Oct 12, 2016",0.044,0.042,0.044,0.042,812.90K,0.00%
"Oct 11, 2016",0.044,0.044,0.044,0.042,713.00K,4.76%
"Oct 10, 2016",0.042,0.044,0.046,0.042,1.89M,-4.55%
"Oct 07, 2016",0.044,0.044,0.044,0.044,687.00K,0.00%
"Oct 06, 2016",0.044,0.044,0.044,0.044,536.50K,0.00%
"Oct 05, 2016",0.044,0.044,0.044,0.044,993.70K,0.00%
"Oct 04, 2016",0.044,0.044,0.044,0.044,958.70K,0.00%
