name,link,last,high,low,change,change_percent,volume
Kossan Rubber Ind,https://www.investing.com/equities/kossan-rubber-industries-bhd,4.40,4.50,4.38,-0.05,-1.12%,922.50K
Gabungan,https://www.investing.com/equities/gabungan-aqrs-bhd,1.110,1.130,1.090,-0.020,-1.77%,895.20K
APFT,https://www.investing.com/equities/apft-bhd,0.025,0.030,0.025,0.000,0.00%,893.20K
IRIS Corporation,https://www.investing.com/equities/iris-corporation-bhd,0.140,0.145,0.140,-0.005,-3.45%,891.50K
SP Setia,https://www.investing.com/equities/sp-setia-bhd,2.850,2.850,2.780,+0.050,+1.79%,862.10K
Prestariang Bhd,https://www.investing.com/equities/prestariang-bhd,1.000,1.030,1.000,0.000,0.00%,844.70K
George Kent,https://www.investing.com/equities/george-kent-(malaysia)-bhd,1.280,1.290,1.260,+0.010,+0.79%,844.60K
N2N Connect,https://www.investing.com/equities/n2n-connect-bhd,1.230,1.250,1.200,+0.030,+2.50%,843.20K
Supercomnet Tech,https://www.investing.com/equities/supercomnet-technologies-bhd,0.570,0.585,0.570,-0.015,-2.56%,835.10K
G Neptune,https://www.investing.com/equities/g-neptune-bhd,0.085,0.085,0.080,0.000,0.00%,826.00K
UMW,https://www.investing.com/equities/umw-holdings-bhd,5.63,5.85,5.57,-0.05,-0.88%,825.50K
Pan Malaysia,https://www.investing.com/equities/pan-malaysia-holdings-bhd,0.105,0.105,0.100,0.000,0.00%,801.10K
Ahmad Zaki Res,https://www.investing.com/equities/ahmad-zaki-resources-bhd,0.410,0.410,0.400,+0.005,+1.23%,792.10K
TFP Solutions,https://www.investing.com/equities/tfp-solutions-bhd,0.115,0.120,0.110,-0.010,-8.00%,782.30K
Hengyuan Refining,https://www.investing.com/equities/shell-refining-company,6.620,6.620,6.500,0.000,0.00%,781.20K
PPB,https://www.investing.com/equities/ppb-group-bhd,16.88,16.92,16.70,-0.02,-0.12%,778.10K
RHB Bank,https://www.investing.com/equities/rhb-capital-bhd,5.38,5.39,5.33,0.00,0.00%,777.10K
K-One Tech,https://www.investing.com/equities/k-one-technology-bhd,0.200,0.200,0.200,0.000,0.00%,771.50K
HSS Engineers,https://www.investing.com/equities/hss-engineers-bhd,0.945,0.955,0.935,-0.005,-0.53%,759.30K
Minda Global,https://www.investing.com/equities/masterskill-education-group,0.085,0.085,0.075,0.000,0.00%,751.00K
Fitters Diversified,https://www.investing.com/equities/fitters-diversified-bhd,0.395,0.395,0.390,+0.005,+1.28%,746.00K
T7 Global,https://www.investing.com/equities/tanjung-offshore-bhd,0.400,0.405,0.395,0.000,0.00%,733.70K
Pansar Bhd,https://www.investing.com/equities/pansar-bhd,0.840,0.850,0.835,0.000,0.00%,719.10K
IFCA MSC,https://www.investing.com/equities/ifca-msc-bhd,0.270,0.270,0.265,+0.005,+1.89%,715.00K
