symbol,name,code
KPSCB,KPS CONSORTIUM BHD,9121
KRETAM,KRETAM HOLDINGS BHD,1996
KRONO,KRONOLOGI ASIA BHD,0176
KSENG,KECK SENG (MALAYSIA) BHD,3476
KSL,KSL HOLDINGS BHD,5038
KSSC,K. SENG SENG CORP BHD,5192
KSTAR,K-STAR SPORTS LTD,5172
KTB,KONSORTIUM TRANSNASIONAL BHD,4847
KTC,KIM TECK CHEONG CONSOLIDATED BHD,0180
KUB,KUB MALAYSIA BHD,6874
KUCHAI,KUCHAI DEVELOPMENT BHD,2186
KWANTAS,KWANTAS CORP BHD,6572
KYM,KYM HOLDINGS BHD,8362
L&G,LAND & GENERAL BHD,3174
LAFMSIA,LAFARGE MALAYSIA BHD,3794
LAMBO,ACCSOFT TECHNOLOGY BHD,0018
LANDMRK,LANDMARKS BHD,1643
LATITUD,LATITUDE TREE HOLDINGS BHD,7006
LAYHONG,LAY HONG BHD,9385
LBALUM,LB ALUMINIUM BHD,9326
LBICAP,LBI CAPITAL BHD,8494
LBS,LBS BINA GROUP BHD,5789
LCTITAN,LOTTE CHEMICAL TITAN HOLDINGS BHD,5284
LEBTECH,LEBTECH BERHAD,9628
LEESK,LEE SWEE KIAT GROUP BHD,8079
LEONFB,LEON FUAT BHD,5232
LEWEKO,LEWEKO RESOURCES BHD,8745
LFECORP,LFE CORP BHD,7170
LIENHOE,LIEN HOE CORP BHD,3573
LIIHEN,LII HEN INDUSTRIES BHD,7089
LIONFIB,LION FOREST INDUSTRIES BHD,8486
LIONIND,LION INDUSTRIES CORP BHD,4235
LITRAK,LINGKARAN TRANS KOTA HOLDINGS BHD,6645
LKL,LKL INTERNATIONAL BHD,0182
LNGRES,LNG RESOURCES BHD,0025
LONBISC,LONDON BISCUITS BHD,7126
LPI,LPI CAPITAL BHD,8621
LSTEEL,LEADER STEEL HOLDINGS BHD,9881
LTKM,LTKM BHD,7085
LUSTER,LUSTER INDUSTRIES BHD,5068
LUXCHEM,LUXCHEM CORP BHD,5143
LYSAGHT,LYSAGHT GALVANIZED STEEL BHD,9199
M&G,MARINE & GENERAL BHD,5078
M3TECH,M3 TECHNOLOGIES (ASIA) BHD,0017
MAA,MAA GROUP BHD,1198
MAGNA,MAGNA PRIMA BHD,7617
MAGNI,MAGNI-TECH INDUSTRIES BHD,7087
MAGNUM,MAGNUM BHD,3859
MAHSING,MAH SING GROUP BHD,8583
MALAKOF,MALAKOFF CORP BHD,5264
MALPAC,MALPAC HOLDINGS BHD,4936
MALTON,MALTON BHD,6181
MANULFE,MANULIFE HOLDINGS BHD,1058
MARCO,MARCO HOLDINGS BHD,3514
MASTEEL,MALAYSIA STEEL WORKS (KL) BHD SHS,5098
MASTER,MASTER-PACK GROUP BHD,7029
MATANG,MATANG BHD,0189
MATRIX,MATRIX CONCEPTS HOLDINGS BHD,5236
MAXIS,MAXIS BHD,6012
MAXWELL,MAXWELL INTERNATIONAL HOLDINGS BHD,5189
MAYBANK,MALAYAN BANKING BHD,1155
MAYBULK,MALAYSIAN BULK CARRIERS BHD,5077
MBG,MINTYE BHD,5886
MBL,MUAR BAN LEE GROUP BHD,5152
MBMR,MBM RESOURCES BHD,5983
MBSB,MALAYSIA BUILDING SOCIETY BHD,1171
MBWORLD,MB WORLD GROUP BHD,7189
MCEHLDG,MCE HOLDINGS BHD,7004
MCLEAN,MCLEAN TECHNOLOGIES BHD,0167
MCT,MCT BHD,5182
MEDAINC,MEDA INC BHD,5040
MEDIA,MEDIA PRIMA BHD,4502
MEDIAC,MEDIA CHINESE INTERNATIONAL LTD,5090
MEGASUN,MEGA SUN CITY HOLDINGS BHD,0081
MELATI,MELATI EHSAN HOLDINGS BHD,5129
MELEWAR,MELEWAR INDUSTRIAL GROUP BHD,3778
MENANG,MENANG CORP (M) BHD,1694
MENTIGA,MENTIGA CORP BHD,5223
MERCURY,MERCURY INDUSTRIES BHD,8192
MERGE,MERGE ENERGY BHD,5006
MESB,MESB BHD,7234
METROD,METROD HOLDINGS BHD,6149
MEXTER,MEXTER TECHNOLOGY BHD,0075
MFCB,MEGA FIRST CORP BHD,3069
MFLOUR,MALAYAN FLOUR MILLS BHD,3662
MGB,MGB BHD,7595
MGRC,MALAYSIAN GENOMICS RESOURCE CENTRE BHD,0155
MHB,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,5186
MHC,MHC PLANTATIONS BHD,5026
MI,MI EQUIPMENT HOLDINGS BHD,5286
MICROLN,MICROLINK SOLUTIONS BHD,0126
MIECO,MIECO CHIPBOARD BHD,5001
MIKROMB,MIKRO MSC BHD,0112
MILUX,MILUX CORP BHD,7935
MINDA,ASIAMET EDUCATION GROUP BHD,5166
MINETEC,MINETECH RESOURCES BHD,7219
